id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,product
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,Turtle Check Men Navy Blue Shirt for Men's Casual wear in 2011 for Fall season
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,Peter England Men Party Blue Jeans for Men's Casual wear in 2012 for Summer season
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,Titan Women Silver Watch for Women's Casual wear in 2016 for Winter season
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,Manchester United Men Solid Black Track Pants for Men's Casual wear in 2011 for Fall season
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,Puma Men Grey T-shirt for Men's Casual wear in 2012 for Summer season
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,Inkfruit Mens Chain Reaction T-shirt for Men's Casual wear in 2011 for Summer season
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,Fabindia Men Striped Green Shirt for Men's Ethnic wear in 2012 for Summer season
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,Jealous 21 Women Purple Shirt for Women's Casual wear in 2012 for Summer season
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,Puma Men Pack of 3 Socks for Men's Casual wear in 2012 for Summer season
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,Skagen Men Black Watch for Men's Casual wear in 2016 for Winter season
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Puma Men Future Cat Remix SF Black Casual Shoes for Men's Casual wear in 2011 for Summer season
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,Fossil Women Black Huarache Weave Belt for Women's Casual wear in 2012 for Summer season
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,Fila Men Cush Flex Black Slippers for Men's Casual wear in 2011 for Fall season
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,Murcia Women Blue Handbag for Women's Casual wear in 2012 for Summer season
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,Ben 10 Boys Navy Blue Slippers for Boys's Casual wear in 2012 for Fall season
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,Reid & Taylor Men Check Purple Shirts for Men's Formal wear in 2011 for Fall season
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,Police Men Black Dial Watch PL12889JVSB for Men's Casual wear in 2016 for Winter season
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,Gini and Jony Girls Knit White Top for Girls's Casual wear in 2012 for Summer season
